state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes_dom,total_calls_dom,total_charge_dom,total_minutes,total_calls,total_charge,charge_per_min_day,charge_per_min_eve,charge_per_min_night,charge_per_min_dom,charge_per_min_int,%_int_min,call_satisfaction,region
KY,45,415,no,yes,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,0,673.0999999999999,284,67.39,684.9999999999999,287,70.6,0.39785714285714285,0.2893478260869565,0.06805555555555555,0.2372887323943662,1.07,1.737226277372263,0.0,South
MD,93,408,yes,no,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0,1,659.0,283,73.82999999999998,669.5,285,76.66999999999999,0.48660550458715596,0.11,0.13229729729729728,0.26088339222614837,1.42,1.568334578043316,0.0,South
OH,63,415,yes,yes,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1,0,687.9,313,67.48,698.9,319,70.45,0.3075454545454545,0.2230630630630631,0.0966304347826087,0.21559105431309905,0.49500000000000005,1.5739018457576193,0.3134796238244514,Midwest
OK,100,415,no,no,0,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3,0,601.0,344,61.120000000000005,614.5,346,64.77000000000001,0.3596875,0.14642857142857144,0.06672131147540984,0.17767441860465116,1.825,2.196908055329536,0.8670520231213872,South
NV,53,415,no,no,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,0,543.4000000000001,297,54.37,554.3000000000001,299,57.309999999999995,0.2958762886597938,0.2152873563218391,0.061415929203539825,0.18306397306397307,1.47,1.966444163810211,0.0,West
ID,92,415,yes,no,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9.0,5,2.43,1,0,646.5999999999999,362,60.35,655.5999999999999,367,62.78,0.21021428571428571,0.19457142857142856,0.08965811965811966,0.16671270718232045,0.48600000000000004,1.3727882855399636,0.2724795640326975,West
MN,139,510,no,no,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,1,539.3000000000001,329,49.52,549.5000000000001,331,52.27,0.21556603773584906,0.18326530612244898,0.06968,0.15051671732522798,1.375,1.8562329390354861,1.5105740181268883,Midwest
SD,110,408,no,yes,40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9.0,9,2.43,2,0,556.3,329,55.11,565.3,338,57.54,0.33436893203883494,0.07890625,0.10785714285714286,0.16750759878419452,0.27,1.5920750044224306,0.591715976331361,Midwest
IL,110,408,no,no,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,0,467.5,316,38.39,477.3,323,41.04,0.10829059829059828,0.17418367346938776,0.08564356435643565,0.1214873417721519,0.37857142857142856,2.0532160067043788,0.9287925696594427,Midwest
WY,215,510,no,no,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,0,431.1,349,34.69,441.8,358,37.58,0.09601351351351352,0.11296703296703296,0.09272727272727273,0.09939828080229225,0.3211111111111111,2.421910366681756,0.0,West
AL,73,415,no,no,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,0,500.59999999999997,289,53.29,509.99999999999994,295,55.83,0.3798837209302326,0.1235344827586207,0.07229885057471265,0.18439446366782006,0.42333333333333334,1.843137254901961,0.3389830508474576,South
NJ,138,510,no,no,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,0,503.8,293,53.73,516.7,298,57.209999999999994,0.420561797752809,0.06008,0.11126582278481012,0.18337883959044368,0.696,2.4966131217340815,0.0,Northeast
NV,137,415,yes,no,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,1,492.29999999999995,278,44.41,504.59999999999997,280,47.73,0.24178947368421053,0.11176470588235295,0.12395061728395061,0.1597482014388489,1.66,2.437574316290131,0.7142857142857143,West
IN,36,415,no,no,0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,0,711.6,331,70.99,720.0,333,73.25999999999999,0.5594805194805195,0.10264900662251655,0.12048543689320389,0.2144712990936556,1.135,1.1666666666666667,0.3003003003003003,Midwest
WV,85,408,no,no,0,225.0,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,0,596.2,254,62.03,603.3000000000001,256,63.95,0.4722222222222222,0.2387301587301587,0.07945454545454546,0.24421259842519685,0.96,1.1768606000331507,1.171875,South
VA,108,408,no,no,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,1,821.2,234,72.48,830.6,237,75.02000000000001,0.3409090909090909,0.37933333333333336,0.21293333333333334,0.3097435897435898,0.8466666666666667,1.1317120154105467,0.0,South
SC,22,408,no,no,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,0,479.1,296,42.0,488.6,301,44.57,0.17523364485981308,0.1521505376344086,0.09479166666666666,0.14189189189189189,0.514,1.9443307408923454,0.0,South
RI,107,415,no,yes,37,60.0,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3.0,0,0,424.0,288,30.67,435.1,291,33.67,0.09999999999999999,0.108625,0.11113207547169811,0.10649305555555556,1.0,2.551137669501264,0.0,Northeast
IN,51,510,no,no,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,0,647.9,218,61.99,658.1,223,64.74000000000001,0.38851063829787236,0.2193103448275862,0.19318181818181818,0.2843577981651376,0.55,1.5499164260750644,0.0,Midwest
AZ,94,408,no,no,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,0,630.1,280,59.18,639.3000000000001,282,61.66,0.36364705882352943,0.17551020408163265,0.11412371134020619,0.21135714285714285,1.24,1.4390739871734706,1.4184397163120568,West
NM,119,510,no,yes,23,154.0,114,26.18,278.0,137,23.63,228.4,112,10.28,11.8,4,3.19,2,0,660.4,363,60.09,672.1999999999999,367,63.28,0.22964912280701755,0.1724817518248175,0.09178571428571428,0.16553719008264464,0.7975,1.755429931567986,0.544959128065395,West
OR,33,415,no,yes,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,1,554.5,258,49.34,568.4,269,53.09,0.2703030303030303,0.12525,0.1589873417721519,0.1912403100775194,0.3409090909090909,2.445460942997889,1.486988847583643,West
NJ,106,415,no,no,0,207.9,91,35.34,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,0,571.7,343,58.59,586.1,350,62.480000000000004,0.38835164835164837,0.13412844036697247,0.060349650349650355,0.17081632653061227,0.5557142857142857,2.4569186145708923,1.1428571428571428,Northeast
MS,82,408,no,no,0,207.0,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,0,612.3,281,62.74999999999999,621.4,289,65.21,0.39099999999999996,0.2385542168674699,0.07185185185185185,0.22330960854092524,0.3075,1.4644351464435146,1.0380622837370241,South
MI,86,510,no,yes,41,119.0,101,20.23,230.0,134,19.55,236.9,58,10.66,9.5,3,2.57,0,0,585.9,293,50.44,595.4,296,53.01,0.2002970297029703,0.1458955223880597,0.18379310344827587,0.17215017064846416,0.8566666666666666,1.5955660060463555,0.0,Midwest
TX,97,415,yes,no,0,143.7,117,24.43,273.0,82,23.21,178.3,81,8.02,10.9,3,2.94,0,0,595.0,280,55.66,605.9,283,58.599999999999994,0.2088034188034188,0.2830487804878049,0.09901234567901233,0.19878571428571426,0.98,1.7989767288331409,0.0,South
FL,106,408,no,yes,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,0,555.5,305,54.38999999999999,569.6,313,58.199999999999996,0.2238095238095238,0.1978494623655914,0.0905813953488372,0.178327868852459,0.47625,2.4754213483146064,1.2779552715654952,South
DC,108,510,no,no,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,0,542.5,331,48.63,552.3,334,51.28,0.19311475409836065,0.1252136752136752,0.11326086956521739,0.14691842900302116,0.8833333333333333,1.7743979721166037,0.29940119760479045,South
TX,114,415,no,no,0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,0,528.0,299,44.34,542.5,307,48.260000000000005,0.12203389830508475,0.24697674418604648,0.09157894736842105,0.14829431438127091,0.49,2.672811059907834,0.32573289902280134,South
KS,92,408,yes,no,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,1,464.9,317,35.97,475.29999999999995,319,38.78,0.09585585585585586,0.12182539682539682,0.12475,0.11347003154574133,1.405,2.1880917315379764,0.3134796238244514,Midwest
UT,59,510,no,no,0,155.2,79,26.38,235.3,123,20.0,169.4,80,7.62,8.7,4,2.35,1,0,559.9,282,53.99999999999999,568.6,286,56.349999999999994,0.33392405063291136,0.16260162601626016,0.09525,0.19148936170212763,0.5875,1.5300738656348927,0.34965034965034963,West
MN,24,510,no,yes,25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,0,605.4000000000001,270,56.22,612.1000000000001,279,58.03,0.25481818181818183,0.16942857142857143,0.1890909090909091,0.20822222222222223,0.20111111111111113,1.094592386864891,0.35842293906810035,Midwest
IL,151,408,no,no,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,0,501.5,261,45.11,516.9,262,49.269999999999996,0.25988636363636364,0.10857142857142857,0.16524590163934427,0.1728352490421456,4.16,2.9792996711162703,0.38167938931297707,Midwest
NM,117,415,no,no,0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,0,539.8,307,50.65,551.3,310,53.76,0.23650485436893204,0.1662962962962963,0.08677083333333334,0.16498371335504886,1.0366666666666666,2.08597859604571,0.3225806451612903,West
SC,78,510,no,no,0,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,12.5,1,3.38,1,0,630.5,319,58.26,643.0,320,61.64,0.2600909090909091,0.25753424657534246,0.07977941176470588,0.1826332288401254,3.38,1.9440124416796267,0.3125,South
NC,155,408,no,no,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,0,603.5,253,67.74,611.8,259,69.97999999999999,0.8110909090909091,0.14637168141592918,0.07752941176470587,0.2677470355731225,0.37333333333333335,1.3566525008172607,0.7722007722007722,South
WV,114,510,no,yes,30,206.2,79,35.05,260.0,91,22.1,291.6,83,13.12,11.4,6,3.08,1,0,757.8,253,70.27,769.1999999999999,259,73.35,0.44367088607594934,0.24285714285714288,0.1580722891566265,0.2777470355731225,0.5133333333333333,1.482059282371295,0.3861003861003861,South
RI,114,510,no,yes,28,225.8,94,38.39,193.0,117,16.41,232.4,100,10.46,8.4,9,2.27,4,0,651.2,311,65.25999999999999,659.6,320,67.52999999999999,0.4084042553191489,0.14025641025641025,0.10460000000000001,0.2098392282958199,0.25222222222222224,1.2734990903577925,1.25,Northeast
NH,119,408,no,no,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3,0,572.7,265,49.88,586.2,271,53.53,0.2641573033707865,0.18576923076923077,0.12122448979591838,0.18822641509433963,0.6083333333333333,2.3029682702149437,1.107011070110701,Northeast
MO,64,510,no,yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,0,378.0,294,34.260000000000005,382.5,298,35.480000000000004,0.15432692307692308,0.11465346534653466,0.07449438202247191,0.11653061224489798,0.305,1.1764705882352942,0.0,Midwest
MA,118,408,yes,no,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,0,520.2,318,50.43,530.1,321,53.1,0.22113821138211381,0.1553125,0.08404040404040404,0.15858490566037736,0.89,1.8675721561969438,0.6230529595015576,Northeast
PA,101,415,no,no,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,0,681.4,322,65.49,696.0,325,69.42999999999999,0.3344761904761904,0.16341880341880344,0.1125,0.20338509316770184,1.3133333333333332,2.097701149425287,0.0,Northeast
OK,117,415,no,no,0,134.7,121,22.9,180.0,83,15.3,200.9,104,9.04,7.7,3,2.08,1,0,515.6,308,47.24,523.3000000000001,311,49.32,0.1892561983471074,0.18433734939759036,0.08692307692307691,0.1533766233766234,0.6933333333333334,1.4714313013567741,0.3215434083601286,South
AL,49,415,no,yes,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8.0,13,2.16,3,0,655.8,285,65.72,663.8,298,67.88,0.46730769230769237,0.1999,0.08672897196261682,0.23059649122807016,0.16615384615384615,1.2051822838204278,1.006711409395973,South
WY,139,415,no,no,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13.0,3,3.51,3,0,630.4000000000001,301,61.84,643.4000000000001,304,65.35000000000001,0.3151923076923077,0.20750000000000002,0.0904950495049505,0.2054485049833887,1.17,2.020516008703761,0.9868421052631579,West
PA,92,408,no,yes,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10.0,3,2.7,1,0,585.0999999999999,283,53.01,595.0999999999999,286,55.71,0.28544444444444445,0.20962025316455696,0.0943859649122807,0.18731448763250882,0.9,1.6803898504453036,0.34965034965034963,Northeast
WA,83,415,no,no,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,0,575.7,306,62.85,585.5,311,65.5,0.3654368932038835,0.1912621359223301,0.055099999999999996,0.2053921568627451,0.53,1.6737830913748932,0.964630225080386,West
HI,148,510,yes,no,0,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,11.1,4,3.0,0,0,630.2,272,64.04,641.3000000000001,276,67.04,0.4228409090909091,0.208,0.09242424242424242,0.23544117647058826,0.75,1.7308591922657102,0.0,West
SD,144,408,no,yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,1,527.4000000000001,269,52.400000000000006,533.9000000000001,271,54.160000000000004,0.33614583333333337,0.1565671641791045,0.0909433962264151,0.19479553903345728,0.88,1.217456452519198,0.7380073800738007,Midwest
AL,131,415,no,yes,25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,0,672.8,249,63.39999999999999,683.6999999999999,255,66.33999999999999,0.38541176470588234,0.18285714285714286,0.19389830508474576,0.2546184738955823,0.49,1.59426649115109,0.7843137254901961,South
VT,146,510,yes,no,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,0,646.2,339,63.39,656.7,345,66.23,0.2574074074074074,0.2068888888888889,0.08789473684210526,0.18699115044247788,0.47333333333333333,1.59890360895386,0.8695652173913043,Northeast
MT,143,415,no,no,0,172.3,97,29.29,174.0,108,14.79,188.2,119,8.47,13.0,4,3.51,2,0,534.5,324,52.55,547.5,328,56.059999999999995,0.30195876288659795,0.13694444444444442,0.0711764705882353,0.16219135802469134,0.8775,2.374429223744292,0.6097560975609756,West
MN,81,415,no,no,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,0,602.6,272,60.36,613.0,278,63.17,0.36268817204301074,0.1660185185185185,0.12253521126760562,0.22191176470588236,0.4683333333333333,1.6965742251223492,0.7194244604316548,Midwest
AK,48,415,no,yes,37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,0,515.7,279,56.06,527.9000000000001,280,59.35,0.31295652173913047,0.16178571428571428,0.081,0.20093189964157707,3.29,2.3110437582875543,0.35714285714285715,West
MI,86,415,no,yes,28,221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9.0,2,2.43,1,0,750.3,279,72.99000000000001,759.3,281,75.42000000000002,0.5090540540540541,0.2451,0.10295238095238096,0.2616129032258065,1.215,1.185302252074279,0.3558718861209964,Midwest
DE,71,415,no,no,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,0,660.8,273,61.730000000000004,667.5,278,63.540000000000006,0.31148148148148147,0.14155963302752295,0.22607142857142856,0.22611721611721614,0.362,1.00374531835206,1.079136690647482,South
SD,145,408,no,yes,24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,0,575.3,300,51.349999999999994,590.9,303,55.559999999999995,0.2786666666666667,0.13824074074074075,0.1111764705882353,0.17116666666666666,1.4033333333333333,2.640040616009477,0.6600660066006601,Midwest
MI,137,510,no,no,0,206.4,122,35.09,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2,0,528.9,308,54.720000000000006,537.6999999999999,313,57.10000000000001,0.28762295081967215,0.10666666666666667,0.10416666666666667,0.1776623376623377,0.476,1.6366003347591598,0.6389776357827476,Midwest
KS,137,408,no,no,0,205.9,88,35.0,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2,0,705.1,258,65.84,719.6,262,69.76,0.3977272727272727,0.20686046511627906,0.15535714285714286,0.25519379844961243,0.98,2.0150083379655364,0.7633587786259541,Midwest
AL,167,510,no,no,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,0,595.2,249,58.019999999999996,609.3000000000001,254,61.83,0.40102272727272725,0.17857142857142858,0.11714285714285715,0.23301204819277108,0.762,2.314130969965534,0.0,South
OK,89,510,no,no,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,1,876.9,298,87.88,882.1999999999999,301,89.31,0.5437894736842105,0.19456140350877194,0.15775280898876404,0.2948993288590604,0.4766666666666666,0.6007708002720472,0.33222591362126247,South
CT,199,415,no,yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0,0,749.3,314,71.32000000000001,757.3,316,73.48,0.3239669421487604,0.18838383838383838,0.14329787234042554,0.22713375796178345,1.08,1.056384523966724,0.0,Northeast
NE,132,510,no,no,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,0,353.7,314,33.52,363.4,317,36.14,0.15381818181818183,0.137125,0.04540322580645161,0.10675159235668791,0.8733333333333334,2.6692350027517886,0.0,Midwest
WI,94,510,no,no,0,177.1,112,30.11,194.0,112,16.49,146.7,108,6.6,5.9,4,1.59,1,0,517.8,332,53.199999999999996,523.6999999999999,336,54.79,0.2688392857142857,0.14723214285714284,0.06111111111111111,0.16024096385542166,0.3975,1.1265991980141306,0.2976190476190476,Midwest
CT,96,415,no,yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,1,508.9,295,49.29,519.1999999999999,300,52.07,0.3156989247311828,0.08801724137931036,0.11302325581395349,0.16708474576271187,0.5559999999999999,1.983821263482281,1.6666666666666667,Northeast
WI,96,510,no,yes,18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,0,565.6,269,52.38,575.4,272,55.03,0.3413953488372093,0.10035398230088495,0.16685714285714284,0.19472118959107806,0.8833333333333333,1.7031630170316305,0.3676470588235294,Midwest
IN,166,510,no,no,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,0,600.9000000000001,376,59.76,610.4000000000001,381,62.33,0.30182608695652174,0.10059210526315789,0.08954128440366972,0.15893617021276596,0.514,1.5563564875491478,0.26246719160104987,Midwest
DC,74,415,no,no,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,0,475.79999999999995,235,42.03,485.9,240,44.76,0.1755421686746988,0.31417910447761194,0.07541176470588236,0.17885106382978724,0.546,2.078616999382589,0.8333333333333334,South
AR,36,415,no,no,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,0,582.3,274,53.28,594.1999999999999,275,56.49,0.22897435897435897,0.27017241379310347,0.10929292929292929,0.19445255474452555,3.21,2.0026926960619322,0.0,South
ME,113,415,no,no,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,0,641.3,337,64.55000000000001,647.9,346,66.33000000000001,0.284031007751938,0.15888888888888889,0.10241758241758242,0.1915430267062315,0.19777777777777777,1.0186757215619693,1.1560693641618496,Northeast
MN,94,415,no,no,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,0,669.0999999999999,300,60.8,675.6999999999999,305,62.58,0.31489795918367347,0.1930681818181818,0.11359649122807017,0.20266666666666666,0.356,0.9767648364658873,0.32786885245901637,Midwest
MD,67,415,no,no,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,0,477.5,272,47.36,489.4,276,50.57,0.364875,0.11580246913580249,0.07918918918918919,0.17411764705882352,0.8025,2.4315488353085413,0.7246376811594203,South
FL,127,415,no,no,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,1,738.6000000000001,393,77.15,744.5000000000001,395,78.74000000000001,0.42754716981132074,0.13398809523809524,0.07831932773109244,0.19631043256997457,0.795,0.7924781732706514,0.25316455696202533,South
RI,121,408,no,no,0,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,1,817.9,263,72.13,829.1,266,75.14999999999999,0.2682407407407407,0.4380882352941176,0.15367816091954023,0.27425855513307984,1.0066666666666666,1.3508623808949463,0.0,Northeast
IA,158,415,no,no,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1,0,691.6,309,62.57,700.7,313,65.03,0.25339622641509435,0.2180701754385965,0.12191011235955056,0.20249190938511327,0.615,1.2987012987012987,0.3194888178913738,Midwest
AZ,136,510,no,no,0,92.0,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1,0,559.7,284,46.830000000000005,570.0,294,49.61000000000001,0.13367521367521368,0.27999999999999997,0.10700000000000001,0.16489436619718312,0.27799999999999997,1.8070175438596494,0.3401360544217687,West
MO,196,415,no,no,0,234.0,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,0,656.6,293,68.78,665.7,298,71.24,0.364954128440367,0.1860526315789474,0.11128571428571428,0.23474402730375427,0.492,1.3669821240799158,0.6711409395973155,Midwest
VT,113,415,no,no,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,1,754.4000000000001,334,78.7,762.9000000000001,344,81.0,0.4167567567567567,0.19338983050847458,0.09161904761904761,0.23562874251497007,0.22999999999999998,1.1141696159391792,0.29069767441860467,Northeast
IN,122,408,no,no,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,1,645.1,295,74.68,656.5,298,77.76,0.508989898989899,0.20516853932584272,0.05635514018691589,0.2531525423728814,1.0266666666666666,1.7364813404417363,1.342281879194631,Midwest
RI,112,510,no,no,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,0,568.1,290,57.48,579.5,292,60.559999999999995,0.3272277227722772,0.19731707317073172,0.07710280373831775,0.19820689655172413,1.54,1.9672131147540985,0.0,Northeast
SD,209,415,no,no,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,0,669.0999999999999,294,68.84,677.9999999999999,298,71.24000000000001,0.30171875,0.23869565217391306,0.11162162162162162,0.2341496598639456,0.6,1.3126843657817113,1.006711409395973,Midwest
MN,62,415,no,no,0,248.7,109,42.28,220.0,118,18.7,265.7,78,11.96,13.2,2,3.56,1,1,734.4,305,72.94,747.6,307,76.5,0.38788990825688074,0.15847457627118644,0.15333333333333335,0.23914754098360655,1.78,1.7656500802568216,0.32573289902280134,Midwest
TX,110,415,no,yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,0,615.7,296,65.08,625.4000000000001,302,67.7,0.39382352941176474,0.14866071428571428,0.10073170731707316,0.21986486486486487,0.4366666666666667,1.5510073552926125,0.33112582781456956,South
VA,16,510,no,no,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,0,595.2,226,59.26,606.1,229,62.199999999999996,0.5065217391304349,0.15494623655913978,0.1546875,0.262212389380531,0.98,1.7983831050981687,0.0,South
MA,73,408,no,no,0,94.1,136,16.0,280.3,122,23.83,205.0,77,9.23,9.8,4,2.65,0,0,579.4,335,49.06,589.1999999999999,339,51.71,0.11764705882352941,0.195327868852459,0.11987012987012988,0.14644776119402986,0.6625,1.6632722335369994,0.0,Northeast
ID,128,408,no,no,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,0,585.0,317,50.19,603.9,319,55.29,0.21494949494949497,0.16317757009345796,0.10315315315315314,0.15832807570977916,2.55,3.129657228017883,0.0,West
MA,39,408,no,no,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,0,490.5,324,41.879999999999995,502.9,327,45.23,0.065,0.21691666666666667,0.12130434782608696,0.12925925925925924,1.1166666666666667,2.4656989461125476,0.3058103975535168,Northeast
GA,103,415,no,yes,28,121.0,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,0,551.9,281,50.769999999999996,559.6,285,52.849999999999994,0.19590476190476191,0.2298,0.095,0.18067615658362987,0.52,1.3759828448892066,0.7017543859649122,South
RI,119,415,no,yes,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3,0,522.2,256,48.5,529.8000000000001,259,50.55,0.3034848484848485,0.19149122807017543,0.08736842105263158,0.189453125,0.6833333333333332,1.4345035862589652,1.1583011583011582,Northeast
ID,173,510,no,yes,21,232.4,96,39.51,211.9,118,18.01,273.0,102,12.29,5.0,5,1.35,3,0,717.3,316,69.81,722.3,321,71.16,0.4115625,0.1526271186440678,0.12049019607843137,0.22091772151898734,0.27,0.6922331441229407,0.9345794392523363,West
SD,128,510,yes,yes,32,223.5,81,38.0,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,1,567.2,256,61.019999999999996,576.6,258,63.559999999999995,0.4691358024691358,0.2168918918918919,0.069009900990099,0.23835937499999998,1.27,1.6302462712452306,0.7751937984496124,Midwest
MA,86,510,no,no,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,0,722.9,254,64.93,729.1,257,66.60000000000001,0.37936708860759494,0.22711340206185568,0.16576923076923075,0.2556299212598426,0.5566666666666666,0.850363461802222,0.0,Northeast
WY,114,415,no,yes,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,0,535.4,273,46.85,548.3,276,50.33,0.26936708860759495,0.1439047619047619,0.11752808988764046,0.1716117216117216,1.16,2.3527266095203356,0.36231884057971014,West
VA,104,408,no,no,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10.0,3,2.7,0,0,630.5,294,55.99,640.5,297,58.690000000000005,0.2203738317757009,0.19327433628318583,0.14283783783783785,0.1904421768707483,0.9,1.56128024980484,0.0,South
OR,148,415,no,no,0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,0,584.5,317,46.95,595.8,321,50.0,0.10947761194029851,0.22782608695652176,0.1243956043956044,0.14810725552050474,0.7625,1.8966096005370932,0.3115264797507788,West
VA,129,408,no,no,0,207.0,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,0,607.0,324,59.39,620.4,329,63.01,0.3867032967032967,0.10884297520661157,0.09848214285714285,0.18330246913580248,0.724,2.159896840747905,0.911854103343465,South
