state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes_dom,total_calls_dom,total_charge_dom,total_minutes,total_calls,total_charge,charge_per_min_dom,charge_per_min_int,%_int_min,call_satisfaction,region
FL,84,510,no,no,0,191.0,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,0,757.1,286,126.22999999999999,763.6,290,127.99,0.44136363636363635,0.44,0.008512310110005238,0.0,South
WA,134,408,no,no,0,208.3,86,35.41,253.6,89,21.56,291.0,86,13.1,12.6,3,3.4,1,0,752.9,261,120.66,765.5,264,124.06,0.46229885057471265,1.1333333333333333,0.016459830176355324,0.003787878787878788,West
MT,72,415,no,no,0,253.0,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,0,683.1,240,101.13,692.9,244,103.78,0.421375,0.6625,0.014143455044017898,0.0,West
AL,83,408,no,no,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,0,505.5,280,108.71,512.3,284,110.55,0.38825,0.46,0.013273472574663284,0.0,South
WV,137,408,no,no,0,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,0,467.20000000000005,339,139.42999999999998,477.40000000000003,344,142.17999999999998,0.41129793510324475,0.55,0.021365731043150395,0.0,South
GA,56,415,no,yes,30,127.1,89,21.61,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,0,493.79999999999995,316,112.39,505.9,319,115.66,0.3556645569620253,1.09,0.02391777031033801,0.003134796238244514,South
OH,61,510,yes,yes,16,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,0,533.8,229,103.27000000000001,545.0999999999999,232,106.32000000000001,0.45096069868995636,1.0166666666666666,0.020730141258484686,0.0,Midwest
DE,171,510,no,yes,17,186.9,94,31.77,240.0,138,20.4,200.9,64,9.04,5.8,3,1.57,1,0,627.8,296,123.44,633.5999999999999,299,125.00999999999999,0.41702702702702704,0.5233333333333333,0.009154040404040406,0.0033444816053511705,South
NE,123,510,no,no,0,194.0,118,32.98,242.0,114,20.57,146.3,108,6.58,12.1,4,3.27,1,0,582.3,340,145.15,594.4,344,148.42000000000002,0.4269117647058824,0.8175,0.020356662180349934,0.0029069767441860465,Midwest
FL,58,510,no,no,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,0,520.1,342,106.11,530.0,348,108.78,0.31026315789473685,0.445,0.01867924528301887,0.0,South
AK,156,510,no,no,0,123.7,96,21.03,103.0,80,8.76,189.4,82,8.52,13.1,4,3.54,1,0,416.1,258,113.28,429.20000000000005,262,116.82000000000001,0.4390697674418605,0.885,0.03052190121155638,0.003816793893129771,West
WI,166,510,no,no,0,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,0,641.0999999999999,299,135.07999999999998,656.3999999999999,304,139.20999999999998,0.4517725752508361,0.826,0.023308957952468012,0.0,Midwest
WA,75,510,no,yes,41,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,0,506.0,293,140.01999999999998,518.4,297,143.36999999999998,0.47788395904436853,0.8375,0.023919753086419755,0.003367003367003367,West
KY,75,415,no,no,0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,1,769.5,288,129.26000000000002,775.2,291,130.8,0.4488194444444445,0.5133333333333333,0.007352941176470588,0.006872852233676976,South
OH,83,510,no,no,0,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,0,647.0999999999999,293,105.17,659.1999999999999,298,108.44,0.3589419795221843,0.654,0.018355582524271847,0.003355704697986577,Midwest
UT,243,510,no,no,0,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,0,523.4,273,117.8,530.0,279,119.58,0.43150183150183147,0.2966666666666667,0.012452830188679244,0.007168458781362007,West
NM,153,408,no,no,0,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,0,599.4,324,153.95000000000002,614.5,327,158.03000000000003,0.47515432098765437,1.36,0.024572823433685925,0.0030581039755351682,West
MN,150,415,no,no,0,146.3,133,24.87,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54,1,0,583.7,331,160.79,596.8000000000001,334,164.32999999999998,0.48577039274924466,1.18,0.021950402144772115,0.0029940119760479044,Midwest
WV,92,510,no,yes,16,184.0,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,0,445.5,329,113.82,458.2,332,117.25,0.3459574468085106,1.1433333333333333,0.027717154081187252,0.006024096385542169,South
MN,80,415,no,no,0,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,0,339.29999999999995,285,122.26,352.4,290,125.80000000000001,0.4289824561403509,0.708,0.03717366628830874,0.0,Midwest
AL,134,415,no,no,0,178.0,110,30.26,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16,1,0,568.4,279,133.72,580.1,283,136.88,0.4792831541218638,0.79,0.020168936390277538,0.0035335689045936395,South
PA,77,510,no,yes,24,149.4,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1,0,447.6,230,92.37,457.70000000000005,236,95.10000000000001,0.40160869565217394,0.455,0.022066856019226564,0.00423728813559322,Northeast
DE,147,510,no,no,0,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,0,491.29999999999995,305,121.98,502.59999999999997,308,125.03,0.3999344262295082,1.0166666666666666,0.022483087942697974,0.006493506493506494,South
MO,74,415,no,no,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,0,566.0,309,131.19,577.6,315,134.32,0.4245631067961165,0.5216666666666666,0.02008310249307479,0.0031746031746031746,Midwest
IL,138,510,yes,no,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,0,571.4000000000001,306,108.81,580.8000000000001,315,111.35000000000001,0.35558823529411765,0.2822222222222222,0.016184573002754818,0.0031746031746031746,Midwest
FL,143,415,no,no,0,119.1,117,20.25,287.7,136,24.45,223.0,100,10.04,12.2,4,3.29,0,0,629.8,353,151.48999999999998,642.0,357,154.77999999999997,0.4291501416430594,0.8225,0.019003115264797508,0.0,South
HI,64,415,no,no,0,194.2,147,33.01,173.4,87,14.74,268.7,114,12.09,5.5,2,1.49,2,0,636.3,348,173.83,641.8,350,175.32000000000002,0.4995114942528736,0.745,0.008569647865378623,0.005714285714285714,West
ME,120,510,no,no,0,198.8,56,33.8,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,0,548.6999999999999,210,80.95,558.5999999999999,213,83.62,0.3854761904761905,0.89,0.017722878625134268,0.009389671361502348,Northeast
CO,121,408,yes,no,0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,1,502.7,330,112.82,516.1,331,116.44,0.34187878787878784,3.62,0.025963960472776593,0.00906344410876133,West
NH,88,415,no,no,0,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,0,658.4,278,115.2,670.1999999999999,280,118.39,0.4143884892086331,1.595,0.017606684571769622,0.007142857142857143,Northeast
SC,87,408,no,no,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,1,713.3,327,131.77,722.6999999999999,331,134.31,0.40296636085626913,0.635,0.013006780130067803,0.006042296072507553,South
IN,100,510,no,no,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,0,570.1999999999999,318,131.56,580.4,321,134.31,0.41371069182389936,0.9166666666666666,0.01757408683666437,0.0,Midwest
FL,104,415,no,no,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,0,418.3,284,136.01,427.7,287,138.54999999999998,0.47890845070422533,0.8466666666666667,0.02197802197802198,0.010452961672473868,South
GA,27,510,no,no,0,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,0,347.1,263,95.69,357.0,266,98.36,0.3638403041825095,0.89,0.027731092436974792,0.0037593984962406013,South
IL,81,415,no,yes,31,210.4,100,35.77,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62,0,0,604.5999999999999,317,126.76,614.3,321,129.38,0.3998738170347003,0.655,0.015790330457431223,0.0,Midwest
NC,64,510,yes,yes,33,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,0,537.5,306,117.97999999999999,545.6,319,120.16999999999999,0.38555555555555554,0.16846153846153847,0.014846041055718474,0.0,South
VT,107,510,no,yes,28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,0,732.3,340,115.07000000000001,744.1999999999999,348,118.28,0.33844117647058825,0.40125,0.01599032518140285,0.0028735632183908046,Northeast
DC,88,415,no,yes,17,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,0,629.9000000000001,264,105.35,646.0000000000001,269,109.69999999999999,0.3990530303030303,0.8699999999999999,0.024922600619195046,0.0037174721189591076,south
VT,111,408,no,no,0,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9.0,6,2.43,3,0,595.1,342,145.13,604.1,348,147.56,0.4243567251461988,0.405,0.014898195662969706,0.008620689655172414,Northeast
NV,77,415,no,no,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,0,550.0,310,133.99,560.3,312,136.77,0.43222580645161296,1.39,0.018383009102266645,0.016025641025641024,West
OR,67,415,yes,no,0,120.9,58,20.55,235.0,88,19.98,95.1,130,4.28,11.4,11,3.08,2,0,451.0,276,82.26,462.4,287,85.34,0.2980434782608696,0.28,0.02465397923875433,0.006968641114982578,West
AL,102,408,no,no,0,224.7,81,38.2,129.4,112,11.0,167.6,109,7.54,15.8,6,4.27,1,0,521.7,302,99.54,537.5,308,103.81,0.32960264900662256,0.7116666666666666,0.029395348837209304,0.003246753246753247,South
ND,146,408,no,yes,19,176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1,0,554.8,252,111.53,569.4,258,115.47,0.4425793650793651,0.6566666666666666,0.02564102564102564,0.003875968992248062,Midwest
FL,144,415,no,yes,51,283.9,98,48.26,192.0,109,16.32,196.3,85,8.83,10.0,4,2.7,1,0,672.2,292,123.14999999999999,682.2,296,125.85,0.42174657534246573,0.675,0.01465845793022574,0.0033783783783783786,South
NE,96,415,no,no,0,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,1,667.1,331,121.53,677.4,335,124.31,0.3671601208459215,0.695,0.015205196338943018,0.0029850746268656717,Midwest
ND,70,415,no,yes,31,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,0,575.0,278,129.06,585.3,282,131.84,0.4642446043165468,0.695,0.017597813087305656,0.0035460992907801418,Midwest
ME,149,408,no,no,0,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,0,637.4,297,104.67999999999999,646.5,306,107.13999999999999,0.3524579124579124,0.2733333333333333,0.014075792730085072,0.0,Northeast
IL,129,415,no,no,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,0,574.5,298,118.51,583.7,300,120.99000000000001,0.3976845637583893,1.24,0.015761521329450058,0.006666666666666667,Midwest
WA,166,408,no,no,0,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,0,573.3,338,125.57,584.1999999999999,343,128.51,0.371508875739645,0.588,0.01865799383772681,0.0,West
MA,136,408,yes,no,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11.0,4,2.97,3,1,483.4,269,110.23,494.4,273,113.2,0.4097769516728625,0.7425,0.022249190938511326,0.01098901098901099,Northeast
KS,149,510,no,no,0,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,0,718.1,264,124.46000000000001,727.7,267,127.05000000000001,0.471439393939394,0.8633333333333333,0.013192249553387384,0.011235955056179775,Midwest
RI,70,415,no,no,0,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,0,630.8,299,127.75999999999999,638.4,305,129.81,0.42729096989966553,0.3416666666666666,0.011904761904761904,0.009836065573770493,Northeast
MO,120,415,no,yes,24,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62,2,0,698.0,295,105.14,707.7,308,107.76,0.35640677966101697,0.20153846153846156,0.013706372756817858,0.006493506493506494,Midwest
IA,66,510,no,no,0,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,0,623.8,376,158.75,630.0,383,160.42,0.42220744680851063,0.23857142857142857,0.009841269841269842,0.005221932114882507,Midwest
WY,104,408,no,no,0,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1,0,519.4,343,152.94,532.1,345,156.37,0.4458892128279883,1.715,0.023867694042473218,0.002898550724637681,West
NV,160,415,no,no,0,176.2,90,29.95,196.0,115,16.66,263.9,95,11.88,9.2,4,2.48,1,0,636.0999999999999,300,118.53999999999999,645.3,304,121.02,0.3951333333333333,0.62,0.014256934759026809,0.003289473684210526,West
WI,129,415,no,yes,37,205.0,94,34.85,165.4,103,14.06,185.0,81,8.32,11.7,8,3.16,1,0,555.4,278,116.38,567.1,286,119.53999999999999,0.41863309352517986,0.395,0.020631281960853464,0.0034965034965034965,Midwest
AL,93,408,no,no,0,267.9,114,45.54,223.0,74,18.96,262.7,90,11.82,11.3,3,3.05,3,1,753.5999999999999,278,144.78,764.8999999999999,281,147.83,0.5207913669064749,1.0166666666666666,0.01477317296378612,0.010676156583629894,South
HI,169,415,no,no,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,0,583.0,333,136.18,592.9,339,138.85,0.40894894894894895,0.445,0.016697588126159554,0.0058997050147492625,West
MO,58,415,no,no,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,0,555.4,358,171.13,570.3,361,175.15,0.4780167597765363,1.3399999999999999,0.026126600035069263,0.002770083102493075,Midwest
CA,75,510,no,yes,38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,0,656.0999999999999,360,160.03,669.1999999999999,363,163.57,0.4445277777777778,1.18,0.019575612671846983,0.008264462809917356,West
MO,45,408,no,no,0,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1,0,578.0999999999999,290,93.78,590.4999999999999,303,97.13,0.3233793103448276,0.2576923076923077,0.0209991532599492,0.0033003300330033004,Midwest
CT,155,510,no,no,0,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,3,0,429.3,319,127.22,438.2,323,129.62,0.3988087774294671,0.6,0.020310360565951622,0.009287925696594427,Northeast
MD,52,415,no,no,0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,0,535.7,315,135.52,545.6,324,138.19,0.43022222222222223,0.29666666666666663,0.018145161290322582,0.012345679012345678,South
OH,119,415,no,yes,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0,0,634.8,341,157.39000000000001,645.9,344,160.39000000000001,0.46155425219941354,1.0,0.017185322805387832,0.0,Midwest
NV,86,510,no,no,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,0,506.20000000000005,258,94.60000000000001,514.4000000000001,263,96.81,0.3666666666666667,0.442,0.015940902021772934,0.0038022813688212928,West
MD,42,408,no,no,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,0,581.0,317,115.95,585.0,324,117.03,0.36577287066246056,0.1542857142857143,0.006837606837606838,0.0,South
NE,127,510,yes,no,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2.0,2,0,640.3,337,143.06,647.6999999999999,341,145.06,0.42451038575667654,0.5,0.011425042457928055,0.005865102639296188,Midwest
OH,123,408,no,no,0,105.0,150,17.85,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,0,614.6,333,183.0,629.5,338,187.02,0.5495495495495496,0.8039999999999999,0.023669579030976967,0.0,Midwest
MA,98,510,no,no,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3.0,4,1,746.5,339,147.99,757.6,345,150.99,0.4365486725663717,0.5,0.014651531151003167,0.011594202898550725,Northeast
OK,149,510,no,yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,0,622.8,281,104.71000000000001,633.6999999999999,284,107.65,0.3726334519572954,0.98,0.017200568092157174,0.0035211267605633804,South
MA,160,408,no,no,0,166.8,109,28.36,236.0,117,20.06,307.6,77,13.84,9.3,1,2.51,1,0,710.4000000000001,303,142.9,719.7,304,145.41,0.47161716171617163,2.51,0.012922050854522717,0.003289473684210526,Northeast
WA,103,415,no,no,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,0,548.3,315,127.86,558.6999999999999,318,130.67,0.4059047619047619,0.9366666666666666,0.018614641131197426,0.015723270440251572,West
HI,132,415,no,yes,15,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,1,0,548.8,324,155.57,557.9,328,158.03,0.4801543209876543,0.615,0.01631116687578419,0.003048780487804878,West
CO,137,415,no,no,0,127.0,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,1,0,594.1,309,140.95,601.6,311,142.98,0.4561488673139158,1.015,0.012466755319148936,0.003215434083601286,West
FL,129,415,yes,no,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,0,583.3,309,100.39,589.1999999999999,313,101.98,0.32488673139158575,0.3975,0.010013577732518672,0.003194888178913738,South
WI,62,415,no,no,0,281.0,66,47.77,160.6,108,13.65,77.9,74,3.51,0.0,0,0.0,1,0,519.5,248,83.16000000000001,519.5,248,83.16000000000001,0.33532258064516135,,0.0,0.004032258064516129,Midwest
ID,122,510,no,yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,0,661.1,310,122.38000000000001,672.9,318,125.57000000000001,0.3947741935483871,0.39875,0.01753603804428593,0.012578616352201259,West
WY,32,408,no,no,0,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,1,0,560.0999999999999,248,106.93,570.3,255,109.68,0.4311693548387097,0.39285714285714285,0.01788532351394003,0.00392156862745098,West
GA,86,510,no,no,0,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,0,616.3,321,112.25,623.0,329,114.06,0.34968847352024923,0.22625,0.010754414125200642,0.00911854103343465,South
FL,130,415,no,no,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1,0,568.0,364,142.85,575.2,367,144.79,0.39244505494505494,0.6466666666666666,0.012517385257301807,0.0027247956403269754,South
WY,42,408,no,no,0,146.3,84,24.87,255.9,113,21.75,45.0,117,2.03,8.0,12,2.16,1,0,447.20000000000005,314,107.78,455.20000000000005,326,109.94,0.3432484076433121,0.18000000000000002,0.017574692442882248,0.003067484662576687,West
DE,73,415,no,no,0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15.0,7,4.05,2,0,552.1,267,104.12,567.1,274,108.17,0.3899625468164794,0.5785714285714285,0.026450361488273674,0.0072992700729927005,South
ME,66,408,no,yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,0,688.9000000000001,338,137.26000000000002,694.3000000000001,341,138.72000000000003,0.40609467455621306,0.48666666666666664,0.007777617744490854,0.005865102639296188,Northeast
DC,103,510,no,yes,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,0,492.8,326,148.89000000000001,501.7,329,151.29000000000002,0.456717791411043,0.7999999999999999,0.01773968507075942,0.0,south
IA,128,408,no,no,0,158.8,75,27.0,264.8,91,22.51,270.0,77,12.15,7.6,7,2.05,1,0,693.6,243,109.66000000000001,701.2,250,111.71000000000001,0.4512757201646091,0.2928571428571428,0.010838562464346833,0.004,Midwest
CO,104,415,no,no,0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,0,652.3,302,143.71,657.8,306,145.20000000000002,0.4758609271523179,0.3725,0.008361204013377928,0.006535947712418301,West
MN,103,415,no,no,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,0,420.2,326,123.67,432.59999999999997,331,127.02,0.3793558282208589,0.67,0.028663892741562648,0.0,Midwest
VT,124,415,no,no,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12.0,2,3.24,0,0,591.4,297,99.93,603.4,299,103.17,0.33646464646464647,1.62,0.019887305270135897,0.0,Northeast
AZ,87,510,no,no,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1,0,476.9,337,113.81,483.09999999999997,342,115.48,0.3377151335311573,0.33399999999999996,0.012833781825708964,0.0029239766081871343,West
LA,109,415,no,yes,27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,1,585.4000000000001,274,112.67999999999999,597.7,278,115.99999999999999,0.4112408759124087,0.83,0.0205788857286264,0.0035971223021582736,South
MO,167,415,yes,no,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,0,482.3,306,104.12,493.0,309,107.01,0.3402614379084967,0.9633333333333334,0.021703853955375253,0.006472491909385114,Midwest
ME,97,510,no,no,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,1,484.70000000000005,260,119.16000000000001,496.6,263,122.37,0.45830769230769236,1.07,0.02396294804671768,0.015209125475285171,Northeast
MD,106,415,no,no,0,165.3,118,28.1,210.0,101,17.85,187.2,93,8.42,8.5,3,2.3,2,0,562.5,312,144.26999999999998,571.0,315,146.57,0.4624038461538461,0.7666666666666666,0.0148861646234676,0.006349206349206349,South
VT,125,415,no,no,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,0,488.4,356,135.5,502.79999999999995,363,139.39,0.3806179775280899,0.5557142857142857,0.028639618138424826,0.005509641873278237,Northeast
DC,108,408,no,yes,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,0,611.9,320,131.84,627.4,327,136.03,0.41200000000000003,0.5985714285714286,0.024705132291998725,0.0,south
WY,125,415,no,no,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8.0,2,2.16,1,0,613.8,335,161.7,621.8,337,163.85999999999999,0.48268656716417907,1.08,0.01286587327114828,0.002967359050445104,West
VA,89,415,no,yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,0,683.9000000000001,309,144.32,692.6000000000001,316,146.67,0.46705501618122974,0.33571428571428574,0.012561362980075076,0.0031645569620253164,South
VA,72,510,yes,yes,29,139.8,114,23.77,138.2,91,11.75,221.0,88,9.95,5.5,6,1.49,0,0,499.0,293,135.7,504.5,299,137.19,0.4631399317406143,0.24833333333333332,0.010901883052527254,0.0,South
CT,23,510,no,no,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,1,714.3000000000001,380,134.73999999999998,725.6,383,137.79,0.354578947368421,1.0166666666666666,0.015573318632855567,0.005221932114882507,Northeast
HI,149,510,no,no,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,0,593.7,299,88.97,601.9000000000001,305,91.17999999999999,0.29755852842809366,0.36833333333333335,0.013623525502575175,0.022950819672131147,West
WI,73,415,no,no,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,0,568.9,280,113.84,574.8,288,115.43,0.4065714285714286,0.19875,0.010264439805149619,0.0,Midwest
MD,61,415,no,no,0,260.0,123,44.2,210.5,127,17.89,234.7,70,10.56,9.0,3,2.43,1,1,705.2,320,151.45,714.2,323,153.88,0.47328125,0.81,0.012601512181461775,0.0030959752321981426,South
WV,161,415,no,no,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,1,467.6,307,128.25,481.0,311,131.87,0.4177524429967427,0.905,0.02785862785862786,0.012861736334405145,South
VT,73,408,no,no,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,0,538.0,288,117.17999999999999,551.5,291,120.83,0.406875,1.2166666666666666,0.024478694469628286,0.0,Northeast
UT,118,415,no,yes,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,0,473.2,228,103.36999999999999,490.09999999999997,230,107.92999999999999,0.4533771929824561,2.28,0.034482758620689655,0.004347826086956522,West
CO,23,408,no,no,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,0,576.4000000000001,270,113.03,591.4000000000001,274,117.08,0.41862962962962963,1.0125,0.025363544132566786,0.021897810218978103,West
NC,127,415,no,yes,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,0,510.4,308,120.8,515.5,314,122.17999999999999,0.39220779220779217,0.22999999999999998,0.009893307468477205,0.0,South
NJ,42,415,no,yes,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,0,532.0,309,103.68,540.1,314,105.87,0.3355339805825243,0.438,0.01499722273653027,0.0,Northeast
AR,118,415,no,no,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5,1,792.8000000000001,357,181.27999999999997,807.2,368,185.16999999999996,0.5077871148459383,0.35363636363636364,0.017839444995044598,0.01358695652173913,South
IA,45,510,no,no,0,159.8,91,27.17,120.4,86,10.23,163.0,93,7.34,10.6,3,2.86,2,0,443.20000000000005,270,108.57000000000001,453.80000000000007,273,111.43,0.40211111111111114,0.9533333333333333,0.023358307624504183,0.007326007326007326,Midwest
GA,50,408,no,yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,0,816.6,314,167.69,827.2,318,170.55,0.5340445859872611,0.715,0.01281431334622824,0.0031446540880503146,South
MO,179,510,no,no,0,287.3,123,48.84,288.0,114,24.48,266.0,112,11.97,10.5,4,2.84,0,1,841.3,349,159.45,851.8,353,162.29,0.4568767908309455,0.71,0.012326837285747828,0.0,Midwest
MO,152,408,no,no,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2,0,441.3,333,142.97,448.8,336,145.0,0.4293393393393393,0.6766666666666666,0.016711229946524065,0.005952380952380952,Midwest
WY,105,415,no,no,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,0,612.6,312,108.2,625.8000000000001,317,111.76,0.3467948717948718,0.712,0.021093000958772767,0.006309148264984227,West
HI,72,415,no,no,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,0,520.6,277,120.14,528.9,283,122.38,0.4337184115523466,0.37333333333333335,0.01569294762715069,0.0,West
PA,52,408,no,no,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1,0,775.7,305,100.88,780.9000000000001,307,102.28,0.3307540983606557,0.7,0.006658983224484568,0.003257328990228013,Northeast
